"code","type","floor","status","companyName","companyNameEng","shortName","listedDate","delistedDate","companyId","isin","indexCode"
"HMR","STOCK","HNX","listed","Công ty cổ phần Đá Hoàng Mai","Hoang Mai Stone Joint Stock Company","Công ty đá Hoàng Mai","2022-01-13",,"8457","VN000000HMR8",
"PVG","STOCK","HNX","listed","CÔNG TY CỔ PHẦN KINH DOANH LPG VIỆT NAM","PETRO VIETNAM LPG JOINT STOCK COMPANY","Kinh doanh LPG","2009-01-07",,"1457","VN000000PVG5",
"MAS","STOCK","HNX","listed","Công ty Cổ phần Dịch vụ hàng không sân bay Đà Nẵng ","Danang Airport Services Joint Stock Company","DV sân bay Đà Nẵng","2014-07-15",,"1468","VN000000MAS1",
"MHL","STOCK","HNX","listed","Công ty Cổ phần Minh Hữu Liên","Minh Huu Lien Joint Stock Company","Minh Hữu Liên","2009-11-26",,"2589","VN000000MHL1",
"BBS","STOCK","HNX","listed","Công ty Cổ phần VICEM Bao bì Bút Sơn","VICEM But Son Packing Joint - Stock Company","Bao bì Bút Sơn","2005-12-28",,"431","VN000000BBS2",
"TNG","STOCK","HNX","listed","Công ty Cổ phần Đầu tư và Thương mại TNG","TNG Investment And Trading Joint Stock Company","Đầu tư và Thương mại TNG","2007-11-22",,"2098","VN000000TNG4","HNX30"
"KBT","STOCK","HNX","delisted","Công ty Cổ phần Gạch ngói Kiên Giang","Kien Giang Brick Tile Joint Stock Company",,"2010-07-29","2013-11-28","2759",,
"VTL","STOCK","HNX","listed","Công ty Cổ phần Vang Thăng Long","Thanglong Joint-Stock Company","Vang Thăng Long","2005-07-14",,"544","VN000000VTL7",
"PHN","STOCK","HNX","listed","Công ty cổ phần Pin Hà Nội","Ha noi Batteries Joint Stock Company","Pin Hà Nội","2019-03-13",,"4947","VN000000PHN0",
"TBX","STOCK","HNX","listed","Công ty Cổ phần Xi măng Thái Bình","Thai Binh Cement Joint Stock Company","Xi măng Thái Bình","2008-11-18",,"2391","VN000000TBX4",
"PIA","STOCK","HNX","listed","Công ty cổ phần Tin học Viễn thông Petrolimex","Petrolimex Information Technology and Telecommunication Joint Stock Company","V.thông Petrolimex","2019-09-06",,"5171","VN000000PIA5",
"STP","STOCK","HNX","listed","Công ty Cổ phần công nghiệp thương mại Sông Đà","Song Da Industry Trade joint stock company","CN T.mại Sông Đà","2006-10-09",,"919","VN000000STP4",
"BST","STOCK","HNX","listed","Công ty Cổ phần Sách - Thiết bị Bình Thuận ","Binh Thuan Book and Equipment Joint Stock Company","Sách Bình Thuận","2008-12-18",,"2407","VN000000BST4",
"QST","STOCK","HNX","listed","Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh","Quang Ninh Book And Educational Equipment Joint Stock Company","Sách Quảng Ninh","2009-02-16",,"2408","VN000000QST2",
"VKC","STOCK","HNX","listed","Công ty Cổ phần VKC Holdings","VKC Holdings joint stock company","Nhựa Vĩnh Khánh","2010-12-08",,"3059","VN000000VKC5",
"MNC","STOCK","HNX","delisted","Công ty Cổ phần Mai Linh miền Trung","MaiLinh Corporation In Northern Central","Mai Linh miền Trung","2010-12-16","2018-06-28","3062","VN000000MNC8",
"BSC","STOCK","HNX","listed","Công ty Cổ phần Dịch vụ Bến Thành","Ben Thanh Service Joint Stock Company","DV Bến Thành","2011-01-05",,"3069","VN000000BSC0",
"KST","STOCK","HNX","listed","Công ty Cổ phần KASATI","Kasati Joint Stock Company","CTCP KASATI","2010-12-29",,"3073","VN000000KST5",
"HDA","STOCK","HNX","listed","Công ty Cổ phần Hãng sơn Đông Á","Dong A Paint Joint Stock Company","Hãng sơn Đông Á","2010-12-27",,"3076","VN000000HDA3",
"PCE","STOCK","HNX","listed","Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung","Central PetroVietnam Fertilizer and Chemicals Joint stock company","H.chất DK M.Trung","2015-07-23",,"3101","VN000000PCE0",
"DHP","STOCK","HNX","listed","Công ty Cổ phần Điện Cơ Hải Phòng","Hai Phong Electrical Mechanical Joint Stock Company","Điện Cơ Hải Phòng","2013-03-21",,"3673","VN000000DHP1",
"KLF","STOCK","HNX","listed","Công ty cổ phần Đầu tư Thương mại và Xuất nhập khẩu CFS","CFS Investment And Import Export Trading Joint Stock Company","Đ.tư T.mại XNH CFS","2013-09-23",,"3769","VN000000KLF9",
"KMT","STOCK","HNX","listed","Công ty Cổ phần Kim khí Miền Trung ","Central Vietnam Metal Corporation","Kim khí Miền Trung","2010-12-15",,"1069","VN000000KMT8",
"PVB","STOCK","HNX","listed","Công ty Cổ phần Bọc Ống Dầu khí Việt Nam ","PetroVietnam Coating Joint Stock Company","Bọc Ống D.khí VN","2013-12-24",,"3827","VN000000PVB6",
