"code","type","floor","status","companyName","companyNameEng","shortName","listedDate","delistedDate","companyId","isin","indexCode"
"CTN","STOCK","UPCOM","listed","Công ty Cổ phần Xây dựng Công trình ngầm ","Underground Works Construction Joint Stock Company - VINAVICO","XD Công trình ngầm","2016-05-26",,"1257","VN000000CTN3",
"DMN","STOCK","UPCOM","listed","Công ty Cổ phần DOMENAL","DOMENAL Joint Stock Company","DOMENAL","2021-11-22",,"4118","VN000000DMN6",
"HTK","STOCK","UPCOM","delisted","Công ty cổ phần Đăng kiểm xe cơ giới Hải Dương","Hai Duong Motor Transport Vehicle Registration Joint Stock Company","Đăng kiểm Hải Dương","2018-09-12","2022-04-01","5901","VN000000HTK8",
"DTP","STOCK","UPCOM","listed","Công ty cổ phần Dược phẩm CPC1 Hà Nội","Ha Noi CPC1 Pharmaceutical Joint Stock Company","Dược phẩm CPC1 Hà Nội","2020-06-18",,"5905","VN000000DTP6",
"CEN","STOCK","UPCOM","listed","Công ty Cổ phần CENCON Việt Nam","Cencon Viet Nam Air Services Joint Stock Company","DV Hg Không Cencon","2018-06-15",,"5907","VN000000CEN5",
"DX2","STOCK","UPCOM","delisted","Công ty cổ phần Đầu tư và Xây dựng 319.2","319.2 Investment And Construction Joint Stock Company","Xây dựng 319.2","2018-07-04","2022-04-01","5921","VN000000XD28",
"STW","STOCK","UPCOM","listed","Công ty cổ phần Cấp nước Sóc Trăng","SOCTRANG WATER SUPPLY JOINT STOCK COMPANY","Cấp nc Sóc Trăng","2018-07-06",,"5923","VN000000STW0",
"KGU","STOCK","UPCOM","delisted","Công ty Cổ phần Phát triển Đô thị Kiên Giang","Kien giang Urban Development Joint stock company","Đô thị Kiên Giang","2017-06-26","2019-07-19","4130","VN000000KGU8",
"DKP","STOCK","UPCOM","delisted","Công ty cổ phần Dược Khoa","Duoc Khoa Pharmaceutical Joint Stock Company","Dược Khoa","2018-10-10","2020-06-29","5953","VN000000DKP5",
"DAS","STOCK","UPCOM","listed","Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng","Danang Petroleum Machinery - Technology Joint stock company","T.bị D.khí Đ.Nẵng","2014-09-25",,"4138","VN000000DAS0",
"MH3","STOCK","UPCOM","listed","Công ty cổ phần Khu công nghiệp Cao su Bình Long","Binh Long Rubber Industrial Park Corporation","Cao su Bình Long","2017-03-06",,"4182","VN000000MH35",
"SDF","STOCK","UPCOM","delisted","Công ty Tài chính cổ phần Sông Đà","Song Da Finance Joint Stock Company",,"2014-12-30","2016-03-08","4185","VN000000SDF9",
"SBR","STOCK","UPCOM","listed","Công ty cổ phần Cao su Sông Bé","Song Be Rubber Joint Stock Company","Cao su Sông Bé","2020-11-02",,"6021","VN000000SBR8",
"SGO","STOCK","UPCOM","listed","Công ty Cổ phần Dầu thực vật Sài Gòn","Saigon Vegetable Oil Joint Stock Company","Dầu thực vật SG","2019-12-30",,"4195","VN000000SGO4",
"BLW","STOCK","UPCOM","listed","Công ty cổ phần Cấp nước Bạc Liêu","Bac Lieu Water Supply Joint Stock Company","Cấp nc Bạc Liêu","2018-10-19",,"6026","VN000000BLW3",
"BSP","STOCK","UPCOM","listed","Công ty Cổ phần Bia Sài Gòn - Phú Thọ","Sai Gon – Phu Tho Beer Joint Stock Company","Bia SG Phú Thọ","2016-08-10",,"4204","VN000000BSP2",
"PBT","STOCK","UPCOM","listed","Công ty Cổ phần Nhà và Thương mại Dầu khí","Petro VietNam Building and Commercial Joint Stock Company","Nhà & T.mại Dầu khí","2019-01-18",,"6030","VN000000PBT0",
"GTC","STOCK","UPCOM","delisted","Công ty Cổ phần Trà Rồng Vàng ","Golden Dragon Tea Joint Stock Company","Trà Rồng Vàng","2015-01-29","2020-02-11","4223","VN000000GTC7",
"NTC","STOCK","UPCOM","listed","Công ty cổ phần Khu Công nghiệp Nam Tân Uyên","Nam Tan Uyen Joint Stock Corporation","KCN Nam Tân Uyên","2016-12-19",,"4241","VN000000NTC3",
"G20","STOCK","UPCOM","listed","Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc","Vinh Phuc Textile Investment Joint Stock Company","May Vĩnh Phúc","2017-07-28",,"4250","VN000000G201",
"BCB","STOCK","UPCOM","listed","Công ty cổ phần 397","397 Joint Stock Company","CTCP 397","2018-10-29",,"6060","VN000000BCB6",
"NHP","STOCK","UPCOM","listed","Công ty Cổ phần sản xuất xuất nhập khẩu NHP","NHP  PRODUCTION  IMPORT – EXPORT JOINT STOCK COMPANY","Sản xuất XNK NHP","2021-07-02",,"4258","VN000000NHP0",
"MPT","STOCK","UPCOM","listed","Công ty Cổ phần tập đoàn MPT","MPT Group Joint Stock Company","Tập đoàn MPT","2021-06-02",,"4259","VN000000MPT7",
"APF","STOCK","UPCOM","listed","Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi","Quang Ngai Agricultural Products and Foodstuff Joint Stock Company","N.sản Quảng Ngãi","2017-06-08",,"4270","VN000000APF1",
"VT8","STOCK","UPCOM","delisted","Công ty Cổ phần Dịch vụ Vận tải Ô tô số 8","Transport Service No 8 Joint Stock company","V.tải Ô tô số 8","2015-04-08","2019-11-27","4272","VN000000VT89",
"HKB","STOCK","UPCOM","listed","Công ty Cổ phần nông nghiệp và thực phẩm Hà Nội - Kinh Bắc ","Hanoi - Kinhbac Agriculture And Food Joint Stock Company","Th.phẩm Kinh Bắc","2021-07-28",,"4278","VN000000HKB6",
"VTK","STOCK","UPCOM","listed","CÔNG TY CỔ PHẦN TƯ VẤN VÀ DỊCH VỤ VIETTEL","VIETTEL CONSULTANCY AND SERVICES JOINT STOCK COMPANY","Tư vấn và dịch vụ Viettel","2018-12-18",,"4281","VN000000VTK9",
"GSM","STOCK","UPCOM","listed","Công ty Cổ phần Thủy điện Hương Sơn","Huong Son Hydro Power Joint Stock Company","Th.điện Hương Sơn","2015-04-08",,"4284","VN000000GSM8",
"CNH","STOCK","UPCOM","delisted","Công ty Cổ phần cảng Nha Trang","Nha Trang Port Joint Stock Company","Cảng Nha Trang","2015-04-24","2020-07-13","4290","VN000000CNH8",
"DDV","STOCK","UPCOM","listed","Công ty Cổ phần DAP - VINACHEM","DAP - VINACHEM Joint Stock Company","DAP - VINACHEM","2015-06-10",,"4310","VN000000DDV8",
"FOC","STOCK","UPCOM","listed","Công ty cổ phần Dịch vụ Trực tuyến FPT","FPT ONLINE JOINT STOCK COMPANY","Dịch vụ trực tuyến FPT","2018-12-10",,"6112","VN000000FOC0",
"HIZ","STOCK","UPCOM","delisted","Công ty cổ phần Khu công nghiệp Hố Nai","HONAI Industrial Zone Joint Stock Company","KCN Hố Nai","2018-07-27","2021-12-31","4328","VN000000HIZ9",
"HKP","STOCK","UPCOM","listed","CÔNG TY CỔ PHẦN BAO BÌ HÀ TIÊN","HA TIEN PACKAGING JOINT STOCK COMPANY","BAO BÌ HÀ TIÊN","2016-04-08",,"4337","VN000000HKP6",
"BRS","STOCK","UPCOM","listed","Công ty Cổ phần Dịch vụ Đô thị Bà Rịa","Ba Ria Urban Service Joint Stock Company","DV Đô thị Bà Rịa","2017-01-24",,"4339","VN000000BRS8",
"UPC","STOCK","UPCOM","listed","Công ty cổ phần Phát triển công viên cây xanh và Đô thị Vũng Tàu","Vung Tau Urban And Parks Development Joint Stock Company","Cây xanh Vũng Tàu","2017-04-21",,"4341","VN000000UPC6",
"PAS","STOCK","UPCOM","listed","CÔNG TY CỔ PHẦN QUỐC TẾ PHƯƠNG ANH","PHUONG ANH INTERNATIONAL JOINT STOCK COMPANY","QUỐC TẾ PHƯƠNG ANH","2020-09-21",,"6127","VN000000PAS4",
"TW3","STOCK","UPCOM","listed","Công ty Cổ phần Dược Trung Ương 3","Central Pharmaceutical Joint Stock Company No.3","Dược Trung ương 3","2016-10-18",,"4343","VN000000TW39",
"BMG","STOCK","UPCOM","listed","Công ty Cổ phần May Bình Minh","Binh Minh Garment Joint Stock Company","May Bình Minh","2018-12-25",,"6129","VN000000BMG4",
"HVA","STOCK","UPCOM","listed","Công ty Cổ phần Đầu tư HVA","HVA Investment Joint Stock Company","Đầu tư HVA","2020-03-17",,"4346","VN000000HVA5",
"TBR","STOCK","UPCOM","listed","Công ty cổ phần Địa ốc Tân Bình","Tan Binh Real Estate Joint Stock Company","Công ty địa ốc Tân Bình","2022-07-20",,"6131","VN000000TBR6",
"LAI","STOCK","UPCOM","listed","Công ty Cổ phần Đầu tư xây dựng Long An IDICO ","IDICO Long An Investment Construction JSC","Long An IDICO","2015-08-10",,"4361","VN000000LAI4",
"UDL","STOCK","UPCOM","listed","Công ty Cổ phần Đô thị và Môi trường Đắk Lắk","Dak Lak Urban and Environment Joint Stock Company","Đô thị & M.trg Đắk Lắk","2020-01-09",,"6144","VN000000UDL3",
"C71","STOCK","UPCOM","delisted","Công ty Cổ phần 471","Joint Stock Company 471","CTCP 471","2015-08-03","2021-11-22","4376","VN000000C713",
"PVO","STOCK","UPCOM","listed","Công ty Cổ phần DẦU NHỜN PV OIL","PV OIL LUBE JOINT STOCK COMPANY","Dầu nhờn PV OIL","2016-01-12",,"4399","VN000000PVO9",
"VLG","STOCK","UPCOM","listed","Công ty Cổ Phần VIMC LOGISTICS","VIMC LOGISTICS Joint Stock Company","VIMC LOGISTICS","2015-09-18",,"4417","VN000000VLG4",
"TRS","STOCK","UPCOM","listed","CTCP vận tải và dịch vụ hàng hải","TRACIMEXCO - SUPPLY  CHAINS  AND  AGENCY  SERVICES J.S COMPANY","V.tải Hàng hải","2015-09-18",,"4422","VN000000TRS0",
"DUS","STOCK","UPCOM","listed","CÔNG TY CỔ PHẦN DỊCH VỤ ĐÔ THỊ ĐÀ LẠT","DALAT URBAN SERVER JOINT STOCK COMPANY","DỊCH VỤ ĐÔ THỊ ĐÀ LẠT","2020-01-08",,"6187","VN000000DUS8",
"MSR","STOCK","UPCOM","listed","CÔNG TY CỔ PHẦN MASAN HIGH-TECH MATERIALS","MASAN HIGH-TECH MATERIALS CORPORATION","MASAN HIGH-TECH MATERIALS","2015-09-17",,"4423","VN000000MSR5",
"E29","STOCK","UPCOM","listed","Công ty Cổ phần Đầu tư Xây dựng và Kỹ thuật 29","29 INVESTMENT CONSTRUCTION AND ENGINEERING JOINT STOCK COMPANY","X.dựng & Kỹ thuật 29","2019-11-05",,"10047","VN000000E297",
"PXI","STOCK","UPCOM","listed","Công ty Cổ phần Xây dựng Công nghiệp và Dân dụng Dầu khí","Petroleum Industrial And Civil Construction Joint Stock Company","CN Dân dụng D.khí","2022-05-19",,"2765","VN000000PXI7",
"X18","STOCK","UPCOM","delisted","Công ty Cổ phần Xi măng X18","X18 Cement Joint Stock Company","CTCP Xi măng X18","2017-01-19","2020-07-16","4803","VN000000X180",
"TV6","STOCK","UPCOM","listed","Công ty Cổ phần Thương mại Đầu tư xây lắp điện Thịnh Vượng","Thinh Vuong Electric Construction Investment and Trading Joint Stock Company","Xây lắp điện Thịnh Vượng","2021-05-21",,"10772","VN000000TV63",
"MXC","STOCK","UPCOM","delisted","Trung tâm Nông nghiệp Mùa Xuân","Spring Agricultural Center","TT Nông nghiệp Mùa Xuân","2020-12-10","2022-04-01","10825","VN000000MXC7",
"TST","STOCK","UPCOM","listed","Công ty Cổ phần Dịch vụ Kỹ thuật Viễn thông","Telecommunication Technical Service Joint Stock Company","DV KT Viễn thông","2022-08-08",,"2150","VN000000TST6",
"CGL","STOCK","UPCOM","delisted","CÔNG TY CỔ PHẦN THƯƠNG MẠI GIA LAI","GIA LAI TRADING JOINT STOCK COMPANY","THƯƠNG MẠI GIA LAI","2020-12-03","2022-07-14","10864","VN000000CGL4",
"NXT","STOCK","UPCOM","listed","Công ty cổ phần sản xuất và cung ứng vật liệu xây dựng Kom Tum","KON TUM CONSTRUCTION MATERIALS SUPPLY AND PRODUCTION JOINT STOCK COMPANY","Vật liệu xây dựng Kon Tum","2021-12-09",,"10868","VN000000NXT9",
"NDF","STOCK","UPCOM","listed","Công ty Cổ phần Chế biến Thực phẩm Nông sản Xuất khẩu Nam Định","Nam Dinh Export Foodstuff and Agricultural Products Processing Jont Stock Company","Nông sản Nam Định","2019-11-18",,"2159","VN000000NDF0",
"IDP","STOCK","UPCOM","listed","CÔNG TY CỔ PHẦN SỮA QUỐC TẾ","INTERNATIONAL DAIRY PRODUCTS JOINT STOCK COMPANY","CTCP Sữa Quốc tế","2021-01-07",,"10936","VN000000IDP9",
"VTQ","STOCK","UPCOM","listed","Công ty cổ phần Việt Trung Quảng Bình","Viet Trung Quang Binh Join Stock Company","Việt Trung Quảng Bình","2021-05-17",,"10950","VN000000VTQ6",
"DCS","STOCK","UPCOM","listed","Công ty Cổ phần Tập đoàn Đại Châu","Dai Chau Group Joint Stock Company","Tập đoàn Đại Châu","2019-05-31",,"2165","VN000000DCS6",
"LPT","STOCK","UPCOM","listed","Công ty cổ phần Thương mại và Sản xuất Lập Phương Thành","Lap Phuong Thanh Production and Trading Joint Stock Company","Công ty Lập Phương Thành","2021-04-08",,"10992","VN000000LPT9",
"XMC","STOCK","UPCOM","listed","Công ty cổ phần Đầu tư và Xây dựng Xuân Mai","Xuan Mai Investment And Construction Corporation","Đ.tư và XD Xuân Mai","2019-06-28",,"2168","VN000000XMC7",
"HSV","STOCK","UPCOM","listed","Công ty Cổ phần Gang thép Hà Nội","Ha Noi Iron And Steel Joint Stock Company","Công ty Cổ phần Gang thép Hà Nội","2021-04-27",,"12404","VN000000HSV7",
"MIC","STOCK","UPCOM","listed","Công ty Cổ phần Kỹ nghệ khoáng sản Quảng Nam","Quang Nam Mineral Industry Corporation","Kỹ nghệ Quảng Nam","2015-01-12",,"2171","VN000000MIC8",
"SCV","STOCK","UPCOM","listed","Công ty cổ phần Muối Việt Nam","Vietnam Salt Joint Stock Company Limited Visalco.,Ltd","Muối Việt Nam","2021-05-19",,"12669","VN000000SCV8",
"DFF","STOCK","UPCOM","listed","Công ty Cổ phần Tập đoàn đua FAT","Dua FAT Group.,JSC","ĐUA FAT","2021-07-08",,"13613","VN000000DFF6",
"SSH","STOCK","UPCOM","listed","Công ty Cổ phần phát triển Sunshine Homes","Sunshine Homes Development Joint Stock Company","CTCP Sunshine Homes","2021-08-04",,"13727","VN000000SSH3",
"ISH","STOCK","UPCOM","listed","Công ty Cổ phần thủy điện SROK Phu Miêng IDICO","IDICO SROK Phu Mieng hydropower joint stock company","Th.điện Srok PM","2015-06-29",,"2191","VN000000ISH4",
"BCA","STOCK","UPCOM","listed","Công ty cổ phần B.C.H","B.C.H Joint Stock Company","CTCP B.C.H","2021-09-08",,"13957","VN000000BCA8",
"NTW","STOCK","UPCOM","listed","Công ty Cổ phần Cấp nước Nhơn Trạch","Nhon Trach Water Supply Joint Stock Company","Cấp nước Nhơn Trạch","2012-04-09",,"2197","VN000000NTW1",
"AMS","STOCK","UPCOM","listed","Công ty cổ phần Cơ khí Xây dựng AMECC","AMECC Mechanical Construction Joint Stock Company","C.khí XD AMECC","2017-02-06",,"4812","VN000000AMS1",
"SPB","STOCK","UPCOM","listed","Công ty cổ phần Sợi Phú Bài","Phu Bai Spinning Mill Joint Stock Company","Sợi Phú Bài","2016-10-17",,"4817","VN000000SPB2",
"VC5","STOCK","UPCOM","listed","Công ty Cổ phần Xây dựng số 5_Vinaconex","Construction Joint Stock Company - Number 5","XD 5 - Vinaconex","2016-06-03",,"2223","VN000000VC54",
"SP2","STOCK","UPCOM","listed","Công ty cổ phần Thủy điện Sử Pán 2","Su Pan 2 Hydroprwer Joint Stock Company","Th.điện Sứ Pán 2","2016-09-30",,"4870","VN000000SP21",
"WSB","STOCK","UPCOM","listed","Công ty Cổ phần Bia Sài Gòn - Miền Tây","Western - Sai Gon Beer Joint Stock Company","Bia SG Miền Tây","2010-08-10",,"2903","VN000000WSB8",
"XHC","STOCK","UPCOM","listed","Công ty cổ phần Xuân Hòa Việt Nam","Xuan Hoa Viet Nam Joint Stock Company","Xuân Hòa Việt Nam","2016-11-03",,"4920","VN000000XHC7",
"VSG","STOCK","UPCOM","listed","Công ty Cổ phần Container phía Nam ","South Vietnam Container Shipping Joint Stock Company.","Container phía Nam","2013-06-19",,"560","VN000000VSG9",
"QBR","STOCK","UPCOM","delisted","Công ty cổ phần Đường sắt Quảng Bình","Quang Binh Railway Joint Stock Company","Đ.sắt Quảng Bình","2016-11-09","2021-08-12","4931","VN000000QBR2",
"NTR","STOCK","UPCOM","delisted","Công ty cổ phần Đường sắt Nghệ Tĩnh","NGHE TINH RAILWAY JOINT STOCK COMPANY","Đ.sắt Nghệ Tĩnh","2016-11-10","2021-07-19","4933","VN000000NTR1",
"KLB","STOCK","UPCOM","listed","Ngân hàng Thương mại Cổ phần Kiên Long","Kien Long Commercial Joint Stock Bank","KienLong Bank","2017-06-29",,"2292","VN000000KLB8",
"FSC","STOCK","UPCOM","delisted","Công ty cổ phần Chứng khoán Yuanta Việt Nam","Yuanta Securities Vietnam Joint Stock Company","CK Yuanta Việt Nam","2017-06-30","2018-10-25","637","VN000000FSC1",
"VIN","STOCK","UPCOM","listed","Công ty Cổ phần Giao nhận Kho vận Ngoại thương Việt Nam","Vinatrans","Giao nhận Kho vận","2014-09-04",,"669","VN000000VIN6",
"HNT","STOCK","UPCOM","delisted","Công ty cổ phần Xe điện Hà Nội","Ha Noi Tram Joint Stock Company","Xe điện Hà Nội","2016-11-30","2022-07-07","5028","VN000000HNT2",
"DSV","STOCK","UPCOM","listed","Công ty cổ phần Đường sắt Vĩnh Phú","Vinh Phu Railway Joint Stock Company","Đ.sắt Vĩnh Phú","2016-12-02",,"5036","VN000000DSV6",
"PSN","STOCK","UPCOM","listed","Công ty Cổ phần Dịch vụ Kỹ thuật PTSC Thanh Hoá","PTSC Thanh Hoa Technical Services","Cảng DV DK Th.Hóa","2017-06-29",,"5039","VN000000PSN7",
"ABB","STOCK","UPCOM","listed","Ngân hàng Thương mại Cổ phần An Bình","An Binh Joint Stock Commercial Bank","Ngân hàng An Bình","2020-12-28",,"772","VN000000ABB0",
"GGS","STOCK","UPCOM","delisted","Công ty cổ phần Giống Gia súc Hà Nội","Hanoi Livestock Breeding Joint Stock Company","Gia súc Hà Nội","2016-12-08","2020-07-01","5052","VN000000GGS0",
"RLC","STOCK","UPCOM","delisted","Công ty cổ phần Đường bộ Lào Cai","Lao Cai Road Joint Stock Company","Đường bộ Lào Cai","2016-12-15","2021-06-07","5097","VN000000RLC1",
"IST","STOCK","UPCOM","listed","Công ty cổ phần ICD Tân Cảng Sóng Thần","Tan Cang Song Than ICD Joint Stock Company","Tân Cảng Sóng Thần","2017-01-05",,"5099","VN000000IST9",
"GCB","STOCK","UPCOM","listed","Công ty cổ phần Petec Bình Định","Petec Binh Dinh Joint Stock Company","Petec Bình Định","2016-12-28",,"5126","VN000000GCB5",
"PVX","STOCK","UPCOM","listed","Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam","Petro Vietnam Construction Joint Stock Corporation","Xây lắp D.khí VN","2020-06-17",,"2342","VN000000PVX0",
"VTP","STOCK","UPCOM","listed","Tổng công ty Cổ phần Bưu chính Viettel","Viettel Post Joint Stock Corporation","Bưu chính Viettel","2018-11-23",,"2963","VN000000VTP8",
"HVG","STOCK","UPCOM","listed","Công ty Cổ phần Hùng Vương ","Hung Vuong Corporation","CTCP Hùng Vương","2020-08-13",,"2349","VN000000HVG2",
"SHV","STOCK","UPCOM","delisted","Công ty Cổ phần Hải Việt ","Hai Viet Corporation",,"2010-08-27","2014-12-16","2970",,
"SCL","STOCK","UPCOM","listed","Công ty Cổ phần Sông Đà Cao Cường","Song Da Cao Cuong Joint Stock Company","Sông Đà Cao Cường","2020-05-18",,"2975","VN000000SCL9",
"SDK","STOCK","UPCOM","listed","Công ty Cổ phần Cơ khí Luyện kim ","Mechanical Engineering & Metallurgy Joint Stock Company","Cơ khí Luyện kim","2010-10-28",,"2979","VN000000SDK9",
"PKR","STOCK","UPCOM","delisted","Công ty cổ phần Đường sắt Phú Khánh","Phu Khanh Railway Joint Stock Company","Đ.sắt Phú Khánh","2017-01-06","2021-08-11","5150","VN000000PKR5",
"POV","STOCK","UPCOM","listed","Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng","Vung Ang Petroleum Joint Stock Company","Dầu khí Vũng Áng","2010-09-23",,"2991","VN000000POV9",
"MTP","STOCK","UPCOM","listed","Công ty cổ phần Dược Medipharco","Medipharco Pharmaceutical Joint Stock Company","Dược Medipharco","2010-09-23",,"2992","VN000000MTP7",
"PMJ","STOCK","UPCOM","listed","Công ty Cổ phần vật tư Bưu điện","P&T Material Supply Joint-Stock Company","vật tư Bưu điện","2016-06-29",,"2998","VN000000PMJ8",
"BHV","STOCK","UPCOM","delisted","Công ty Cổ phần Bá Hiến","Ba Hien Joint Stock Company","CTCP Bá Hiến","2017-05-12","2021-03-09","980","VN000000BHV3",
"NBS","STOCK","UPCOM","delisted","Công ty Cổ phần Bến xe Nghệ An","Nghe An Bus Station Joint-stock Company","CTCP Bến xe Nghệ An","2012-11-19","2017-07-06","3562","VN000000NBS7",
"AMP","STOCK","UPCOM","listed","Công ty Cổ phần Armephaco","Armephaco Joint Stock Company","CTCP Armephaco","2017-01-12",,"986","VN000000AMP7",
"CE1","STOCK","UPCOM","listed","Công ty Cổ phần Xây dựng và Thiết bị Công nghiệp CIE1","Construction And Industry Equipment Joint Stock Company - CIE1","T.bị C.nghiệp CIE1","2017-04-10",,"5238","VN000000CE14",
"AAS","STOCK","UPCOM","listed","Công ty Cổ phần Chứng khoán SmartInvest","SmartInvest Securities Joint Stock Company","Chứng khoán SmartInvest","2020-07-23",,"6316","VN000000AAS6",
"SIG","STOCK","UPCOM","listed","Công ty Cổ phần Đầu tư và Thương mại Sông Đà","Songda Investment and Trading Joint Stock Company","Đầu tư T.mại Sông Đà","2019-10-10",,"6359","VN000000SIG6",
"CFV","STOCK","UPCOM","listed","Công ty cổ phần Cà phê Thắng Lợi","Thang Loi Coffee Joint Stock Company","Cà phê Thắng Lợi","2019-06-03",,"6398","VN000000CFV5",
"MTB","STOCK","UPCOM","listed","CÔNG TY CỔ PHẦN MÔI TRƯỜNG VÀ CÔNG TRÌNH ĐÔ THỊ TỈNH THÁI BÌNH","THAI BINH ENVIRONMENT AND URBAN PROJECTS JOINT STOCK COMPANY","MÔI TRƯỜNG VÀ CÔNG TRÌNH ĐÔ THỊ TỈNH THÁI BÌNH","2020-12-10",,"6408","VN000000MTB7",
"SD7","STOCK","UPCOM","listed","Công ty Cổ phần Sông Đà 7","Songda 7 Joint Stock Company","CTCP Sông Đà 7","2018-06-01",,"1295","VN000000SD74",
"VRG","STOCK","UPCOM","listed","Công ty Cổ phần Phát triển đô thị và khu công nghiệp cao su Việt Nam","Cao su Viet Nam Industrial Zone and Urban Development Joint stock company","KCN Cao su VN","2014-11-10",,"2491","VN000000VRG1",
"DXD","STOCK","UPCOM","delisted","Công ty Cổ phần Đầu tư và Phát triển Xây lắp Đông Anh","Dong Anh Invesment and Contruction development joint stock company","Đầu tư và Phát triển xây lắp Đông Anh","2020-05-08","2022-01-24","7088","VN000000DXD4",
"VNI","STOCK","UPCOM","listed","Công ty Cổ phần Đầu tư bất động sản Việt Nam","Vien Nam Land Investment Corporation","ĐT bất động sản VN","2015-06-04",,"2524","VN000000VNI6",
"NJC","STOCK","UPCOM","listed","Công ty Cổ phần May Nam Định","Nam Dinh Garment Joint Stock Company","May Nam Định","2020-12-23",,"7604","VN000000NJC4",
"PAT","STOCK","UPCOM","listed","Công ty cổ phần Phốt pho Apatit Việt Nam","Vietnam Apatite Phosphorus Joint Stock Company","Công ty Phốt pho Apatit Việt Nam","2022-06-17",,"7786","VN000000PAT2",
"DFS","STOCK","UPCOM","delisted","Công ty cổ phần Chế biến Xuất nhập khẩu nông sản thực phẩm Đồng Nai","Dongnai Import Export Processing Agricultural Products and Foods Joint Stock Company","N.sản Th.phẩm Đồng Nai","2019-10-18","2020-09-23","8355","VN000000DFS9",
"IKH","STOCK","UPCOM","delisted","Công ty cổ phần In Khoa học Kỹ thuật","The Scientific Technical Printing Joint Stock Company","In Khoa học KT","2018-01-08","2021-07-13","1315","VN000000IKH1",
"HNM","STOCK","UPCOM","listed","Công ty Cổ phần Sữa Hà Nội","Ha Noi Milk Joint Stock Company","CTCP Sữa Hà Nội","2020-06-19",,"1334","VN000000HNM7",
"HBD","STOCK","UPCOM","listed","Công ty Cổ phần Bao bì PP Bình Dương","Binh Duong PP Pack Making Joint Stock Company","Bao bì Bình Dương","2013-09-16",,"1346","VN000000HBD1",
"BDF","STOCK","UPCOM","delisted","Công ty Cổ phần Giày Bình Định","Binh Dinh Footwear Joint Stock Company","Giày Bình Định","2017-01-06","2020-06-25","14","VN000000BDF5",
"SCJ","STOCK","UPCOM","listed","Công ty Cổ phần Xi măng Sài Sơn","Sai Son Cement Joint Stock Company","Xi măng Sài Sơn","2019-05-27",,"1514","VN000000SCJ3",
"PTP","STOCK","UPCOM","listed","Công ty Cổ phần Dịch vụ Viễn thông và In bưu điện","Post Printing and Tele communication Services Joint Stock Company","V.thông In bưu điện","2009-12-10",,"2595","VN000000PTP0",
"BWS","STOCK","UPCOM","listed","Công ty cổ phần Cấp nước Bà Rịa - Vũng Tàu","Ba Ria-Vung Tau Water Supply Joint Stock Company","Cấp nc Bà Rịa VT","2017-11-28",,"1518","VN000000BWS8",
"VNX","STOCK","UPCOM","listed","Công ty Cổ phần Quảng cáo và Hội chợ thương mại","Vietnam National Trade Fair & Advertising Company","QC & Hội chợ T.mại","2010-06-10",,"2597","VN000000VNX5",
"TIE","STOCK","UPCOM","listed","Công ty Cổ phần TIE","Telecommunications Industry Electronics Joint Stock Company","CTCP TIE","2019-08-09",,"2611","VN000000TIE9",
"MML","STOCK","UPCOM","listed","Công ty Cổ phần Masan MEATLife","Masan MeatLife Corporation","Masan MEATLife","2019-12-09",,"10269","VN000000MML1",
"L44","STOCK","UPCOM","listed","Công ty Cổ phần Lilama 45.4","Lilama 45.4 Joint Stock Company","CTCP Lilama 45.4","2018-06-08",,"2628","VN000000L441",
"SNC","STOCK","UPCOM","listed","Công ty Cổ phần Xuất nhập khẩu Thủy sản Năm Căn","Nam Can Seaproducts Import Export Joint Stock Company","Thủy sản Năm Căn","2014-11-11",,"2656","VN000000SNC5",
"CGV","STOCK","UPCOM","listed","Công ty Cổ phần Vinaceglass","Vinaceglass Joint Stock Company","Vinaceglass","2017-06-21",,"2665","VN000000CGV3",
"TTG","STOCK","UPCOM","listed","Công ty Cổ phần May Thanh Trì ","Thanh Tri Garment Joint Stock Company","May Thanh Trì","2010-02-02",,"2691","VN000000TTG1",
"HSA","STOCK","UPCOM","listed","Công ty Cổ phần Hestia","Hestia Joint Stock Company","CTCP Hestia","2017-01-23",,"1525","VN000000HSA1",
"VSN","STOCK","UPCOM","listed","Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản","Vissan Joint Stock Company","VISSAN","2016-10-21",,"73","VN000000VSN5",
"DRG","STOCK","UPCOM","listed","Công ty Cổ phân cao su Đắk Lắk","Dak Lak Rubber Joint Stock Company","DAKRUCO","2019-12-11",,"10428","VN000000DRG9",
"HGA","STOCK","UPCOM","delisted","CÔNG TY CP NÔNG NGHIỆP CÔNG NGHỆ CAO HẬU GIANG","HAU GIANG HIGH - TECH AGRICULTURE JOINT STOCK COMPANY","Nông nghiệp công nghệ cao Hậu Giang","2020-02-07","2022-04-01","10430","VN000000HGA6",
"GTK","STOCK","UPCOM","delisted","Công ty Cổ phần Giầy Thụy Khuê","Thuy Khue Shoes Joint Stock Company","Giầy Thụy Khuê","2020-01-08","2022-04-01","10456","VN000000GTK0",
